x	beta=6	beta=3	beta=0
0	-9.6433e-16	1.9287e-15	-9.6433e-16
0.0019531	-0.0022865	-0.0038423	-0.0059962
0.0039063	-0.0091465	-0.015372	-0.023995
0.0058594	-0.020582	-0.034596	-0.054026
0.0078125	-0.036595	-0.061529	-0.09614
0.0097656	-0.05719	-0.096189	-0.15041
0.011719	-0.082371	-0.1386	-0.21692
0.013672	-0.11215	-0.18879	-0.2958
0.015625	-0.14652	-0.2468	-0.38717
0.017578	-0.1855	-0.31267	-0.4912
0.019531	-0.22911	-0.38644	-0.60808
0.021484	-0.27734	-0.46817	-0.73802
0.023438	-0.33021	-0.55791	-0.88126
0.025391	-0.38773	-0.65574	-1.0381
0.027344	-0.44992	-0.76172	-1.2088
0.029297	-0.5168	-0.87594	-1.3937
0.03125	-0.58837	-0.99848	-1.5933
0.033203	-0.66467	-1.1294	-1.8079
0.035156	-0.7457	-1.2689	-2.0381
0.037109	-0.83149	-1.417	-2.2843
0.039062	-0.92206	-1.5739	-2.5472
0.041016	-1.0174	-1.7397	-2.8275
0.042969	-1.1176	-1.9144	-3.1258
0.044922	-1.2227	-2.0984	-3.4432
0.046875	-1.3326	-2.2917	-3.7804
0.048828	-1.4475	-2.4945	-4.1386
0.050781	-1.5673	-2.707	-4.519
0.052734	-1.692	-2.9294	-4.923
0.054688	-1.8218	-3.162	-5.3521
0.056641	-1.9566	-3.4049	-5.8083
0.058594	-2.0966	-3.6585	-6.2936
0.060547	-2.2416	-3.9229	-6.8105
0.0625	-2.3918	-4.1986	-7.3618
0.064453	-2.5472	-4.4857	-7.9511
0.066406	-2.7078	-4.7848	-8.5823
0.068359	-2.8738	-5.0961	-9.2605
0.070312	-3.0451	-5.42	-9.9918
0.072266	-3.2218	-5.7571	-10.7836
0.074219	-3.404	-6.1078	-11.6457
0.076172	-3.5916	-6.4726	-12.5902
0.078125	-3.7849	-6.8521	-13.6337
0.080078	-3.9838	-7.247	-14.7985
0.082031	-4.1884	-7.6579	-16.1161
0.083984	-4.3987	-8.0858	-17.6333
0.085938	-4.6149	-8.5313	-19.4237
0.087891	-4.8371	-8.9955	-21.6137
0.089844	-5.0652	-9.4796	-24.448
0.091797	-5.2994	-9.9846	-28.5109
0.09375	-5.5397	-10.5119	-35.9589
0.095703	-5.7864	-11.0632	-46.2365
0.097656	-6.0393	-11.6402	-32.0994
0.099609	-6.2987	-12.2448	-27.1485
0.10156	-6.5647	-12.8796	-24.1405
0.10352	-6.8373	-13.5471	-22.012
0.10547	-7.1167	-14.2507	-20.3901
0.10742	-7.403	-14.9941	-19.1001
0.10938	-7.6963	-15.7819	-18.0456
0.11133	-7.9968	-16.6197	-17.1684
0.11328	-8.3045	-17.5144	-16.43
0.11523	-8.6197	-18.4744	-15.8044
0.11719	-8.9425	-19.5108	-15.2727
0.11914	-9.2731	-20.6378	-14.821
0.12109	-9.6116	-21.8746	-14.4387
0.12305	-9.9582	-23.2478	-14.1179
0.125	-10.3131	-24.7956	-13.8522
0.12695	-10.6765	-26.5764	-13.6365
0.12891	-11.0487	-28.6859	-13.467
0.13086	-11.4298	-31.2969	-13.3404
0.13281	-11.8201	-34.7762	-13.2542
0.13477	-12.2199	-40.1604	-13.2065
0.13672	-12.6294	-54.2257	-13.1958
0.13867	-13.049	-45.391	-13.2208
0.14062	-13.479	-38.3098	-13.2808
0.14258	-13.9196	-34.7135	-13.3755
0.14453	-14.3713	-32.3681	-13.5045
0.14648	-14.8345	-30.6777	-13.6682
0.14844	-15.3096	-29.3942	-13.8668
0.15039	-15.797	-28.3904	-14.1013
0.15234	-16.2973	-27.5926	-14.3726
0.1543	-16.8109	-26.9541	-14.6824
0.15625	-17.3385	-26.4439	-15.0325
0.1582	-17.8807	-26.0402	-15.4254
0.16016	-18.4382	-25.7274	-15.8642
0.16211	-19.0117	-25.4938	-16.3526
0.16406	-19.6022	-25.3307	-16.8955
0.16602	-20.2105	-25.2317	-17.4988
0.16797	-20.8376	-25.1918	-18.1702
0.16992	-21.4848	-25.2072	-18.9196
0.17188	-22.1533	-25.2753	-19.7597
0.17383	-22.8446	-25.3944	-20.708
0.17578	-23.5603	-25.5632	-21.7883
0.17773	-24.3023	-25.7816	-23.0349
0.17969	-25.0728	-26.0498	-24.4995
0.18164	-25.8741	-26.3687	-26.2647
0.18359	-26.7093	-26.7403	-28.4763
0.18555	-27.5817	-27.167	-31.4283
0.1875	-28.4954	-27.6524	-35.8748
0.18945	-29.4551	-28.2013	-45.225
0.19141	-30.4667	-28.8198	-46.139
0.19336	-31.5376	-29.5162	-36.409
0.19531	-32.6767	-30.3014	-32.0245
0.19727	-33.8957	-31.1898	-29.1976
0.19922	-35.2099	-32.2016	-27.1323
0.20117	-36.6398	-33.365	-25.5231
0.20312	-38.214	-34.7217	-24.2199
0.20508	-39.9742	-36.3364	-23.1379
0.20703	-41.9849	-38.318	-22.2246
0.20898	-44.353	-40.87	-21.4449
0.21094	-47.2777	-44.4483	-20.7747
0.21289	-51.2	-50.4965	-20.1964
0.21484	-57.4895	-87.2514	-19.6971
0.2168	-84.144	-50.9803	-19.2667
0.21875	-59.3969	-45.0268	-18.8976
0.2207	-53.6652	-41.6295	-18.5838
0.22266	-50.6034	-39.2798	-18.3204
0.22461	-48.6175	-37.5087	-18.1038
0.22656	-47.2225	-36.1081	-17.9307
0.22852	-46.2056	-34.9674	-17.7989
0.23047	-45.4545	-34.0207	-17.7063
0.23242	-44.903	-33.2256	-17.6515
0.23437	-44.509	-32.5533	-17.6335
0.23633	-44.2443	-31.9835	-17.6514
0.23828	-44.0894	-31.5011	-17.705
0.24023	-44.0304	-31.0951	-17.794
0.24219	-44.0573	-30.7567	-17.9187
0.24414	-44.1633	-30.4795	-18.0795
0.24609	-44.3436	-30.2581	-18.2773
0.24805	-44.595	-30.0885	-18.5132
0.25	-44.9162	-29.9677	-18.7889
0.25195	-45.3072	-29.8931	-19.1062
0.25391	-45.7694	-29.8629	-19.4679
0.25586	-46.3058	-29.8758	-19.877
0.25781	-46.9209	-29.9311	-20.3377
0.25977	-47.6218	-30.0283	-20.8548
0.26172	-48.4178	-30.1676	-21.4348
0.26367	-49.3223	-30.3494	-22.0856
0.26563	-50.354	-30.5746	-22.8179
0.26758	-51.5394	-30.8448	-23.6453
0.26953	-52.9179	-31.1618	-24.5865
0.27148	-54.5507	-31.5285	-25.6673
0.27344	-56.5395	-31.9481	-26.9255
0.27539	-59.0727	-32.4251	-28.4182
0.27734	-62.5622	-32.965	-30.2394
0.2793	-68.2432	-33.575	-32.5587
0.28125	-87.494	-34.2646	-35.7338
0.2832	-70.7952	-35.0458	-40.766
0.28516	-64.3833	-35.9352	-53.8765
0.28711	-60.8959	-36.9554	-45.9755
0.28906	-58.5455	-38.139	-38.4407
0.29102	-56.8106	-39.5344	-34.5303
0.29297	-55.466	-41.2188	-31.8986
0.29492	-54.3939	-43.326	-29.9322
0.29688	-53.5248	-46.1203	-28.3776
0.29883	-52.8144	-50.251	-27.1051
0.30078	-52.2328	-58.3091	-26.0395
0.30273	-51.7591	-64.1424	-25.1333
0.30469	-51.3778	-52.2998	-24.3548
0.30664	-51.0777	-47.5447	-23.6813
0.30859	-50.8501	-44.5548	-23.0968
0.31055	-50.6884	-42.3938	-22.5889
0.3125	-50.5877	-40.7199	-22.1484
0.31445	-50.5441	-39.3694	-21.768
0.31641	-50.5548	-38.2512	-21.4419
0.31836	-50.6178	-37.3092	-21.1657
0.32031	-50.7319	-36.5069	-20.9358
0.32227	-50.8964	-35.8188	-20.7491
0.32422	-51.1114	-35.2265	-20.6034
0.32617	-51.3776	-34.7167	-20.497
0.32813	-51.6961	-34.279	-20.4284
0.33008	-52.0692	-33.9056	-20.3966
0.33203	-52.4998	-33.5904	-20.401
0.33398	-52.9917	-33.3284	-20.4412
0.33594	-53.5501	-33.1159	-20.5171
0.33789	-54.1819	-32.9498	-20.6291
0.33984	-54.8959	-32.8277	-20.7777
0.3418	-55.7041	-32.7479	-20.9638
0.34375	-56.6223	-32.709	-21.1886
0.3457	-57.6728	-32.7101	-21.4538
0.34766	-58.8873	-32.7507	-21.7615
0.34961	-60.3129	-32.8307	-22.1145
0.35156	-62.0249	-32.9503	-22.516
0.35352	-64.1529	-33.1101	-22.9704
0.35547	-66.9507	-33.3111	-23.4829
0.35742	-71.033	-33.5547	-24.0602
0.35938	-78.7542	-33.8429	-24.7109
0.36133	-86.7405	-34.1783	-25.4461
0.36328	-73.8581	-34.564	-26.2805
0.36523	-69.0139	-35.0041	-27.2344
0.36719	-66.0263	-35.5037	-28.3358
0.36914	-63.8969	-36.0695	-29.6261
0.37109	-62.2684	-36.7098	-31.1694
0.37305	-60.9715	-37.4358	-33.0724
0.375	-59.9125	-38.2619	-35.5345
0.37695	-59.0343	-39.2081	-38.9978
0.37891	-58.2993	-40.3023	-44.8395
0.38086	-57.6818	-41.5855	-71.7206
0.38281	-57.1632	-43.1209	-45.7445
0.38477	-56.73	-45.0143	-39.5656
0.38672	-56.3718	-47.4618	-36.0414
0.38867	-56.0809	-50.8974	-33.5875
0.39063	-55.8512	-56.6578	-31.7202
0.39258	-55.6778	-80.5499	-30.2264
0.39453	-55.5572	-57.9344	-28.9935
0.39648	-55.4864	-51.661	-27.9544
0.39844	-55.4635	-48.1107	-27.0662
0.40039	-55.4869	-45.6478	-26.2997
0.40234	-55.5557	-43.7786	-25.6342
0.4043	-55.6694	-42.2871	-25.0545
0.40625	-55.828	-41.0591	-24.5491
0.4082	-56.032	-40.027	-24.1094
0.41016	-56.2826	-39.1474	-23.7284
0.41211	-56.5811	-38.3909	-23.4007
0.41406	-56.9299	-37.7368	-23.1221
0.41602	-57.3319	-37.1698	-22.8891
0.41797	-57.7908	-36.6783	-22.6989
0.41992	-58.3116	-36.2538	-22.5494
0.42188	-58.9006	-35.8892	-22.4388
0.42383	-59.5659	-35.5793	-22.366
0.42578	-60.3184	-35.3197	-22.3299
0.42773	-61.1723	-35.1071	-22.3299
0.42969	-62.147	-34.9389	-22.3659
0.43164	-63.27	-34.8129	-22.4378
0.43359	-64.5812	-34.7275	-22.546
0.43555	-66.1425	-34.6816	-22.691
0.4375	-68.0565	-34.6744	-22.8739
0.43945	-70.5127	-34.7056	-23.0959
0.44141	-73.9254	-34.775	-23.359
0.44336	-79.5404	-34.883	-23.6653
0.44531	-99.0821	-35.0301	-24.0176
0.44727	-81.8013	-35.2174	-24.4196
0.44922	-75.3247	-35.4463	-24.8756
0.45117	-71.7478	-35.7188	-25.3913
0.45312	-69.3004	-36.0372	-25.9738
0.45508	-67.4642	-36.4048	-26.6321
0.45703	-66.0149	-36.8253	-27.3781
0.45898	-64.8351	-37.3039	-28.2278
0.46094	-63.8555	-37.8467	-29.2027
0.46289	-63.032	-38.4618	-30.3338
0.46484	-62.3346	-39.1597	-31.6665
0.4668	-61.7423	-39.9542	-33.2726
0.46875	-61.2395	-40.8638	-35.2747
0.4707	-60.8149	-41.9147	-37.9088
0.47266	-60.4595	-43.1446	-41.7315
0.47461	-60.1666	-44.6112	-48.7314
0.47656	-59.9309	-46.4089	-61.3243
0.47852	-59.7483	-48.709	-45.4436
0.48047	-59.6154	-51.8738	-40.196
0.48242	-59.5298	-56.9228	-36.9903
0.48438	-59.4895	-70.3589	-34.6947
0.48633	-59.4934	-61.812	-32.9205
