x	L=41	L=21	L=11
0	-2.893e-15	-9.6433e-16	0
0.0019531	-0.0091211	-0.0022865	-0.00057265
0.0039063	-0.036494	-0.0091465	-0.0022906
0.0058594	-0.082144	-0.020582	-0.0051541
0.0078125	-0.14612	-0.036595	-0.0091631
0.0097656	-0.22848	-0.05719	-0.014318
0.011719	-0.32931	-0.082371	-0.020619
0.013672	-0.44871	-0.11215	-0.028067
0.015625	-0.5868	-0.14652	-0.036661
0.017578	-0.74372	-0.1855	-0.046403
0.019531	-0.91964	-0.22911	-0.057293
0.021484	-1.1147	-0.27734	-0.069332
0.023438	-1.3292	-0.33021	-0.08252
0.025391	-1.5633	-0.38773	-0.096859
0.027344	-1.8173	-0.44992	-0.11235
0.029297	-2.0914	-0.5168	-0.12899
0.03125	-2.3861	-0.58837	-0.14678
0.033203	-2.7015	-0.66467	-0.16573
0.035156	-3.0381	-0.7457	-0.18584
0.037109	-3.3964	-0.83149	-0.2071
0.039062	-3.7767	-0.92206	-0.22951
0.041016	-4.1796	-1.0174	-0.25309
0.042969	-4.6056	-1.1176	-0.27783
0.044922	-5.0553	-1.2227	-0.30372
0.046875	-5.5294	-1.3326	-0.33079
0.048828	-6.0286	-1.4475	-0.35901
0.050781	-6.5536	-1.5673	-0.38841
0.052734	-7.1054	-1.692	-0.41897
0.054688	-7.6849	-1.8218	-0.4507
0.056641	-8.2931	-1.9566	-0.48361
0.058594	-8.9312	-2.0966	-0.51769
0.060547	-9.6006	-2.2416	-0.55295
0.0625	-10.3027	-2.3918	-0.58938
0.064453	-11.039	-2.5472	-0.627
0.066406	-11.8115	-2.7078	-0.6658
0.068359	-12.6222	-2.8738	-0.70578
0.070312	-13.4735	-3.0451	-0.74695
0.072266	-14.3681	-3.2218	-0.78932
0.074219	-15.309	-3.404	-0.83287
0.076172	-16.3	-3.5916	-0.87763
0.078125	-17.3452	-3.7849	-0.92358
0.080078	-18.4497	-3.9838	-0.97073
0.082031	-19.6195	-4.1884	-1.0191
0.083984	-20.862	-4.3987	-1.0687
0.085938	-22.1863	-4.6149	-1.1194
0.087891	-23.6036	-4.8371	-1.1714
0.089844	-25.1288	-5.0652	-1.2246
0.091797	-26.7812	-5.2994	-1.2791
0.09375	-28.5872	-5.5397	-1.3347
0.095703	-30.5845	-5.7864	-1.3916
0.097656	-32.8291	-6.0393	-1.4497
0.099609	-35.4113	-6.2987	-1.5091
0.10156	-38.4903	-6.5647	-1.5697
0.10352	-42.3922	-6.8373	-1.6315
0.10547	-47.9848	-7.1167	-1.6946
0.10742	-59.7518	-7.403	-1.7589
0.10938	-57.4539	-7.6963	-1.8245
0.11133	-49.9605	-7.9968	-1.8914
0.11328	-46.8694	-8.3045	-1.9595
0.11523	-45.2431	-8.6197	-2.0289
0.11719	-44.393	-8.9425	-2.0995
0.11914	-44.0517	-9.2731	-2.1715
0.12109	-44.094	-9.6116	-2.2447
0.12305	-44.4583	-9.9582	-2.3192
0.125	-45.12	-10.3131	-2.395
0.12695	-46.0814	-10.6765	-2.4722
0.12891	-47.3731	-11.0487	-2.5506
0.13086	-49.0641	-11.4298	-2.6303
0.13281	-51.293	-11.8201	-2.7114
0.13477	-54.3571	-12.2199	-2.7938
0.13672	-59.0469	-12.6294	-2.8775
0.13867	-69.1494	-13.049	-2.9625
0.14062	-68.649	-13.479	-3.0489
0.14258	-59.7897	-13.9196	-3.1366
0.14453	-55.8887	-14.3713	-3.2257
0.14648	-53.5401	-14.8345	-3.3162
0.14844	-51.9916	-15.3096	-3.408
0.15039	-50.9518	-15.797	-3.5012
0.15234	-50.2787	-16.2973	-3.5958
0.1543	-49.8947	-16.8109	-3.6917
0.15625	-49.7552	-17.3385	-3.7891
0.1582	-49.8353	-17.8807	-3.8879
0.16016	-50.1236	-18.4382	-3.9881
0.16211	-50.6199	-19.0117	-4.0897
0.16406	-51.3351	-19.6022	-4.1927
0.16602	-52.2939	-20.2105	-4.2972
0.16797	-53.5404	-20.8376	-4.4032
0.16992	-55.1523	-21.4848	-4.5105
0.17188	-57.2716	-22.1533	-4.6194
0.17383	-60.1921	-22.8446	-4.7297
0.17578	-64.6762	-23.5603	-4.8416
0.17773	-74.2263	-24.3023	-4.9549
0.17969	-74.8075	-25.0728	-5.0697
0.18164	-65.3897	-25.8741	-5.186
0.18359	-61.2422	-26.7093	-5.3039
0.18555	-58.6846	-27.5817	-5.4233
0.1875	-56.9337	-28.4954	-5.5442
0.18945	-55.6889	-29.4551	-5.6667
0.19141	-54.804	-30.4667	-5.7908
0.19336	-54.1982	-31.5376	-5.9164
0.19531	-53.8239	-32.6767	-6.0437
0.19727	-53.6523	-33.8957	-6.1725
0.19922	-53.6671	-35.2099	-6.303
0.20117	-53.8611	-36.6398	-6.4351
0.20312	-54.2351	-38.214	-6.5689
0.20508	-54.7976	-39.9742	-6.7043
0.20703	-55.567	-41.9849	-6.8413
0.20898	-56.5752	-44.353	-6.9801
0.21094	-57.8749	-47.2777	-7.1206
0.21289	-59.5571	-51.2	-7.2628
0.21484	-61.7897	-57.4895	-7.4067
0.2168	-64.9323	-84.144	-7.5523
0.21875	-70.0004	-59.3969	-7.6998
0.2207	-83.4575	-53.6652	-7.849
0.22266	-75.1052	-50.6034	-8
0.22461	-67.7891	-48.6175	-8.1528
0.22656	-64.0771	-47.2225	-8.3075
0.22852	-61.6763	-46.2056	-8.464
0.23047	-59.9825	-45.4545	-8.6224
0.23242	-58.7461	-44.903	-8.7826
0.23437	-57.841	-44.509	-8.9448
0.23633	-57.1955	-44.2443	-9.1089
0.23828	-56.7666	-44.0894	-9.275
0.24023	-56.5278	-44.0304	-9.443
0.24219	-56.4633	-44.0573	-9.613
0.24414	-56.5657	-44.1633	-9.7851
0.24609	-56.834	-44.3436	-9.9592
0.24805	-57.2743	-44.595	-10.1353
0.25	-57.8997	-44.9162	-10.3136
0.25195	-58.734	-45.3072	-10.494
0.25391	-59.8155	-45.7694	-10.6765
0.25586	-61.2076	-46.3058	-10.8612
0.25781	-63.0202	-46.9209	-11.048
0.25977	-65.4641	-47.6218	-11.2372
0.26172	-69.0208	-48.4178	-11.4285
0.26367	-75.2715	-49.3223	-11.6222
0.26563	-101.5418	-50.354	-11.8182
0.26758	-74.6587	-51.5394	-12.0165
0.26953	-69.0131	-52.9179	-12.2173
0.27148	-65.79	-54.5507	-12.4204
0.27344	-63.6113	-56.5395	-12.626
0.27539	-62.0358	-59.0727	-12.8341
0.27734	-60.8658	-62.5622	-13.0448
0.2793	-59.9969	-68.2432	-13.258
0.28125	-59.3682	-87.494	-13.4739
0.2832	-58.9422	-70.7952	-13.6924
0.28516	-58.6957	-64.3833	-13.9136
0.28711	-58.6151	-60.8959	-14.1376
0.28906	-58.6937	-58.5455	-14.3643
0.29102	-58.931	-56.8106	-14.594
0.29297	-59.3327	-55.466	-14.8265
0.29492	-59.9112	-54.3939	-15.062
0.29688	-60.688	-53.5248	-15.3005
0.29883	-61.6979	-52.8144	-15.542
0.30078	-62.9975	-52.2328	-15.7867
0.30273	-64.683	-51.7591	-16.0346
0.30469	-66.9329	-51.3778	-16.2858
0.30664	-70.1346	-51.0777	-16.5403
0.30859	-75.4188	-50.8501	-16.7982
0.31055	-91.3776	-50.6884	-17.0595
0.3125	-78.8975	-50.5877	-17.3245
0.31445	-72.0531	-50.5441	-17.593
0.31641	-68.4254	-50.5548	-17.8653
0.31836	-66.0268	-50.6178	-18.1414
0.32031	-64.3021	-50.7319	-18.4214
0.32227	-63.0167	-50.8964	-18.7054
0.32422	-62.0502	-51.1114	-18.9935
0.32617	-61.3336	-51.3776	-19.2858
0.32813	-60.8247	-51.6961	-19.5824
0.33008	-60.4973	-52.0692	-19.8835
0.33203	-60.335	-52.4998	-20.1892
0.33398	-60.3292	-52.9917	-20.4995
0.33594	-60.4771	-53.5501	-20.8148
0.33789	-60.7814	-54.1819	-21.135
0.33984	-61.251	-54.8959	-21.4604
0.3418	-61.902	-55.7041	-21.7911
0.34375	-62.7611	-56.6223	-22.1272
0.3457	-63.8705	-57.6728	-22.4691
0.34766	-65.2998	-58.8873	-22.8169
