x	L=128	L=128	L=128	beta=6	beta=0
-1	0.010024	0.014412	0.01261	0.012849	1.4376
-0.99609	0.010024	0.0057529	0.0097143	0.011841	1.327
-0.99219	0.010025	0.014414	0.0053959	0.0089791	1.0125
-0.98828	0.010027	0.0057572	0.0096564	0.0047326	0.54332
-0.98438	0.01003	0.014418	0.01262	0.0008901	0.064095
-0.98047	0.010034	0.0057659	0.0097847	0.0053799	0.57029
-0.97656	0.010038	0.014426	0.0053963	0.0094809	1.0341
-0.97266	0.010043	0.0057788	0.0096111	0.012116	1.3402
-0.96875	0.010049	0.014437	0.012649	0.012854	1.4406
-0.96484	0.010056	0.0057961	0.0098676	0.011576	1.3193
-0.96094	0.010064	0.014451	0.0053971	0.0084831	0.99506
-0.95703	0.010072	0.0058177	0.0095788	0.0040881	0.51848
-0.95313	0.010081	0.014468	0.012699	0.0013482	0.076424
-0.94922	0.010092	0.0058438	0.009963	0.0060416	0.59987
-0.94531	0.010102	0.014488	0.0053982	0.0099984	1.0602
-0.94141	0.010114	0.0058744	0.0095598	0.012406	1.3592
-0.9375	0.010127	0.014512	0.012769	0.012871	1.4496
-0.93359	0.01014	0.0059094	0.010071	0.011314	1.317
-0.92969	0.010154	0.014539	0.0053995	0.0079825	0.98148
-0.92578	0.01017	0.005949	0.0095546	0.0034348	0.49535
-0.92188	0.010185	0.014569	0.01286	0.0019878	0.097096
-0.91797	0.010202	0.0059932	0.010192	0.0067302	0.63262
-0.91406	0.01022	0.014602	0.0054009	0.010541	1.0913
-0.91016	0.010239	0.0060422	0.0095639	0.012715	1.3843
-0.90625	0.010258	0.014638	0.012973	0.012896	1.465
-0.90234	0.010279	0.0060959	0.010326	0.011049	1.3201
-0.89844	0.0103	0.014678	0.0054021	0.0074649	0.97156
-0.89453	0.010322	0.0061545	0.0095884	0.0027624	0.47355
-0.89063	0.010345	0.014722	0.013108	0.0027148	0.123
-0.88672	0.010369	0.0062182	0.010474	0.0074587	0.66917
-0.88281	0.010394	0.014769	0.005403	0.011117	1.1282
-0.87891	0.01042	0.0062869	0.0096293	0.013046	1.4161
-0.875	0.010447	0.014819	0.013266	0.012927	1.487
-0.87109	0.010475	0.0063609	0.010635	0.01077	1.3289
-0.86719	0.010504	0.014873	0.0054032	0.0069157	0.96522
-0.86328	0.010534	0.0064403	0.0096876	0.0020663	0.4527
-0.85938	0.010566	0.014931	0.01345	0.0035168	0.15287
-0.85547	0.010598	0.0065253	0.010811	0.0082417	0.71033
-0.85156	0.010631	0.014992	0.0054025	0.011737	1.1716
-0.84766	0.010665	0.006616	0.0097648	0.013402	1.4554
-0.84375	0.010701	0.015058	0.01366	0.012957	1.5163
-0.83984	0.010737	0.0067125	0.011003	0.010464	1.3435
-0.83594	0.010775	0.015127	0.0054003	0.0063169	0.96242
-0.83203	0.010813	0.0068152	0.0098626	0.0013714	0.43241
-0.82813	0.010853	0.0152	0.013898	0.0044044	0.18656
-0.82422	0.010895	0.0069243	0.01121	0.0090957	0.75709
-0.82031	0.010937	0.015277	0.0053962	0.012409	1.2227
-0.81641	0.010981	0.0070399	0.0099832	0.013782	1.5034
-0.8125	0.011026	0.015359	0.014167	0.012978	1.5539
-0.80859	0.011072	0.0071624	0.011435	0.010113	1.3646
-0.80469	0.011119	0.015445	0.0053895	0.0056451	0.96324
-0.80078	0.011168	0.007292	0.010129	0.00089009	0.41227
-0.79688	0.011219	0.015535	0.014468	0.0053988	0.2245
-0.79297	0.01127	0.007429	0.011677	0.01004	0.81069
-0.78906	0.011323	0.01563	0.0053795	0.013145	1.2829
-0.78516	0.011378	0.0075738	0.010303	0.014185	1.5614
-0.78125	0.011434	0.01573	0.014805	0.012975	1.6008
-0.77734	0.011492	0.0077268	0.011937	0.0096933	1.3929
-0.77344	0.011551	0.015834	0.0053653	0.00487	0.96785
-0.76953	0.011612	0.0078883	0.010509	0.0012617	0.39183
-0.76563	0.011674	0.015943	0.015181	0.0065299	0.26757
-0.76172	0.011739	0.0080588	0.012218	0.011099	0.87275
-0.75781	0.011805	0.016058	0.0053459	0.013953	1.3542
-0.75391	0.011872	0.0082389	0.01075	0.014605	1.6314
-0.75	0.011942	0.016178	0.0156	0.012926	1.6588
-0.74609	0.012013	0.0084289	0.01252	0.0091676	1.4295
-0.74219	0.012086	0.016304	0.0053201	0.0039521	0.97656
-0.73828	0.012162	0.0086294	0.011032	0.002302	0.37052
-0.73438	0.012239	0.016435	0.016066	0.0078379	0.31708
-0.73047	0.012318	0.0088412	0.012844	0.012299	0.94542
-0.72656	0.0124	0.016572	0.0052865	0.014843	1.439
-0.72266	0.012484	0.0090649	0.011362	0.015028	1.7159
-0.71875	0.01257	0.016715	0.016586	0.012795	1.73
-0.71484	0.012658	0.0093011	0.013192	0.0084831	1.4759
-0.71094	0.012749	0.016865	0.0052435	0.0028449	0.98981
-0.70703	0.012842	0.0095508	0.011746	0.0036992	0.34767
-0.70313	0.012938	0.017021	0.017165	0.0093767	0.37487
-0.69922	0.013036	0.0098149	0.013564	0.013674	1.0316
-0.69531	0.013137	0.017184	0.0051895	0.015819	1.541
-0.69141	0.013241	0.010094	0.012193	0.015427	1.8186
-0.6875	0.013347	0.017354	0.01781	0.012524	1.8177
-0.68359	0.013457	0.01039	0.013963	0.0075588	1.5342
-0.67969	0.01357	0.017531	0.0051229	0.001558	1.0083
-0.67578	0.013686	0.010704	0.012714	0.0054655	0.32238
-0.67188	0.013805	0.017716	0.01853	0.011219	0.44352
-0.66797	0.013928	0.011036	0.014389	0.015263	1.1353
-0.66406	0.014054	0.017909	0.0050422	0.016876	1.6649
-0.66016	0.014183	0.011389	0.013323	0.015746	1.9445
-0.65625	0.014317	0.01811	0.019337	0.012013	1.9261
-0.65234	0.014454	0.011764	0.014842	0.0062676	1.6074
-0.64844	0.014596	0.01832	0.0049472	0.0012605	1.033
-0.64453	0.014742	0.012162	0.014036	0.0077152	0.29343
-0.64063	0.014892	0.018539	0.020241	0.013461	0.52677
-0.63672	0.015046	0.012587	0.015323	0.017105	1.2623
-0.63281	0.015206	0.018766	0.0048399	0.01798	1.8178
-0.62891	0.01537	0.01304	0.014876	0.015878	2.101
-0.625	0.015539	0.019003	0.021258	0.01109	2.0618
-0.62109	0.015714	0.013524	0.01583	0.0044104	1.6999
-0.61719	0.015894	0.01925	0.0047271	0.0035188	1.0654
-0.61328	0.01608	0.014041	0.015867	0.01064	0.25916
-0.60938	0.016272	0.019508	0.022405	0.016234	0.63017
-0.60547	0.01647	0.014595	0.016359	0.019228	1.4213
-0.60156	0.016675	0.019775	0.0046259	0.019037	2.0104
-0.59766	0.016886	0.01519	0.017045	0.015605	2.299
-0.59375	0.017105	0.020053	0.023704	0.0094378	2.2345
-0.58984	0.017331	0.015829	0.016904	0.0017974	1.8185
-0.58594	0.017565	0.020341	0.0045726	0.0071235	1.1078
-0.58203	0.017807	0.016518	0.018453	0.014539	0.21732
-0.57813	0.018058	0.02064	0.02518	0.019695	0.76235
-0.57422	0.018318	0.017262	0.01745	0.021594	1.6256
-0.57031	0.018587	0.02095	0.0046378	0.019786	2.2592
-0.56641	0.018867	0.018067	0.02015	0.014458	2.5561
-0.5625	0.019156	0.02127	0.026861	0.0064503	2.4597
-0.55859	0.019457	0.01894	0.017976	0.0033586	1.9739
-0.55469	0.01977	0.0216	0.0049432	0.01247	1.1636
-0.55078	0.020094	0.01989	0.022214	0.019852	0.16562
-0.54688	0.020432	0.021939	0.028782	0.023972	0.9375
-0.54297	0.020783	0.020926	0.01844	0.023928	1.8974
-0.53906	0.021149	0.022285	0.0056653	0.019527	2.5918
-0.53516	0.02153	0.02206	0.024748	0.011366	2.9012
-0.53125	0.021928	0.022637	0.03098	0.0014117	2.7634
-0.52734	0.022342	0.023305	0.018774	0.010762	2.1842
-0.52344	0.022775	0.022992	0.0070203	0.020617	1.239
-0.51953	0.023228	0.024678	0.027898	0.027132	0.10939
-0.51563	0.023701	0.023346	0.033487	0.028836	1.1807
-0.51172	0.024196	0.026196	0.018853	0.025077	2.2761
-0.50781	0.024715	0.023693	0.009264	0.0162	3.0575
-0.50391	0.02526	0.027882	0.031862	0.0037265	3.3873
-0.5	0.025831	0.024025	0.036319	0.010895	3.1934
-0.49609	0.026431	0.029764	0.01845	0.023974	2.4829
-0.49219	0.027063	0.024333	0.012752	0.03319	1.3448
-0.48828	0.027728	0.031874	0.036919	0.036237	0.12262
-0.48438	0.02843	0.0246	0.039427	0.031841	1.5412
-0.48047	0.029171	0.034251	0.017135	0.020134	2.84
-0.47656	0.029954	0.024809	0.018067	0.0031718	3.7559
-0.47266	0.030783	0.036945	0.043442	0.017253	4.1218
-0.46875	0.031662	0.024931	0.042575	0.035329	3.848
-0.46484	0.032595	0.040013	0.014043	0.047133	2.9398
-0.46094	0.033588	0.024932	0.026232	0.048667	1.503
-0.45703	0.034647	0.043525	0.051865	0.03762	0.29899
-0.45313	0.035777	0.024772	0.044962	0.014481	2.1314
-0.44922	0.036987	0.047565	0.007387	0.017656	3.7704
-0.44531	0.038284	0.024411	0.039073	0.049592	4.9223
-0.44141	0.03968	0.052221	0.062297	0.070211	5.3654
-0.4375	0.041186	0.023854	0.043925	0.06423	4.9714
-0.43359	0.042817	0.057576	0.0082657	0.015367	3.7314
-0.42969	0.04459	0.023283	0.059535	0.098068	1.7674
-0.42578	0.046529	0.063647	0.071926	0.28684	0.70079
-0.42188	0.048663	0.023469	0.029597	0.56414	3.2831
-0.41797	0.051035	0.070229	0.04265	0.93415	5.6215
-0.41406	0.053707	0.026725	0.086423	1.3921	7.3068
-0.41016	0.056776	0.076368	0.053255	1.923	7.989
-0.40625	0.060408	0.037636	0.045565	2.5004	7.4226
-0.40234	0.064903	0.078548	0.086248	3.0878	5.5082
-0.39844	0.07085	0.062089	0.15086	3.6397	2.3203
-0.39453	0.079468	0.064525	0.9215	4.1044	1.918
-0.39063	0.093415	0.09921	2.4228	4.4283	6.7584
-0.38672	0.11861	0.10209	4.6749	4.5601	11.7068
-0.38281	0.16785	0.27556	7.4687	4.456	16.1746
-0.37891	0.25889	4.2824	10.3976	4.0856	19.5842
-0.375	0.16452	13.9129	12.9824	3.4394	21.4339
-0.37109	24.7116	25.6079	14.8486	2.5465	21.3628
-0.36719	63.1099	31.748	15.8855	1.5653	19.2002
-0.36328	37.3772	27.9197	16.3209	1.3383	14.9988
-0.35938	2.5096	17.1967	16.6729	2.5323	9.0617
-0.35547	0.21894	6.4394	17.5788	4.1927	2.4497
-0.35156	0.25296	0.64934	19.517	5.9593	6.8378
-0.34766	0.19157	2.9074	22.528	7.6932	14.7581
-0.34375	0.30601	16.4408	26.1236	9.2935	22.0819
-0.33984	12.2583	39.0154	29.4373	10.6752	28.073
-0.33594	93.5882	59.0394	31.5067	11.7696	32.2006
-0.33203	118.3708	62.5685	31.5805	12.5262	34.134
-0.32813	32.6518	46.795	29.3612	12.9161	33.7675
-0.32422	0.78249	23.258	25.1022	12.9326	31.2258
-0.32031	0.33642	6.168	19.5287	12.591	26.8439
-0.31641	0.11404	0.0194	13.6108	11.927	21.1249
-0.3125	0.031729	0.13939	8.278	10.9928	14.6789
-0.30859	0.029889	0.21327	4.1748	9.8525	8.152
-0.30469	0.043943	0.080779	1.5377	8.5773	2.1542
-0.30078	0.051473	0.10999	0.21826	7.2397	2.8058
-0.29688	0.054749	0.10483	0.1817	5.9085	6.3717
-0.29297	0.055669	0.054711	0.11699	4.644	8.3692
-0.28906	0.055298	0.099062	0.049943	3.495	8.8133
-0.28516	0.054228	0.025937	0.12163	2.4964	7.8927
-0.28125	0.052791	0.088236	0.075518	1.6685	5.9335
-0.27734	0.05118	0.012217	0.020944	1.0172	3.3495
-0.27344	0.049506	0.077647	0.085142	0.53574	0.58473
-0.26953	0.047834	0.010519	0.078689	0.20748	1.9488
-0.26562	0.046202	0.068389	0.018645	0.0093477	3.9093
-0.26172	0.044631	0.013745	0.046825	0.089694	5.0756
-0.25781	0.043131	0.060528	0.073183	0.11509	5.3578
-0.25391	0.041707	0.016696	0.048962	0.095036	4.7998
-0.25	0.040359	0.053884	0.0078146	0.052702	3.5612
-0.24609	0.039087	0.018779	0.050275	0.0066223	1.8861
-0.24219	0.037887	0.048247	0.05964	0.032873	0.081639
-0.23828	0.036756	0.020166	0.031464	0.056768	1.6316
-0.23438	0.035689	0.04343	0.016881	0.06408	2.9424
-0.23047	0.034684	0.021059	0.048082	0.056618	3.705
