x	k=4	k=3	k=2	k=1
0	15.5356	10.3596	17.7205	13.7893
0.01575	9.1708	-1.8533	12.1288	8.577
0.0315	-10.48	-3.2361	-19.5299	-3.1967
0.04725	-13.3047	-6.7248	-6.5008	-14.8793
0.063	4.1801	-7.2087	-9.3541	-21.0439
0.07875	14.3531	-5.3396	-3.93	-3.8642
0.0945	23.5184	14.8083	13.3096	3.3086
0.11025	26.4283	26.3177	25.1054	17.6555
0.126	22.1331	26.2678	24.1822	24.6682
0.14175	10.3501	17.3754	8.9943	25.3809
0.1575	3.3009	-15.1681	6.9485	17.9463
0.17325	6.1975	-1.2707	6.0201	9.2912
0.189	10.6898	-9.2512	7.7441	15.9976
0.20475	15.4588	1.3887	5.3069	17.2497
0.2205	16.4335	16.7932	16.8748	13.6585
0.23625	12.9653	24.2944	12.6972	16.1637
0.252	6.04	22.4173	11.8542	22.3895
0.26775	4.3077	10.4813	15.756	24.7644
0.2835	3.2544	1.4931	6.5273	23.1404
0.29925	7.8142	-0.060907	-4.7759	15.8604
0.315	13.5776	-0.89617	6.3468	14.0935
0.33075	17.3152	9.559	8.8775	16.9664
0.3465	13.3261	23.4067	13.6639	16.7248
0.36225	13.6734	26.7945	15.4813	18.8156
0.378	11.4763	22.4856	16.9531	23.6615
0.39375	-7.5755	7.9528	8.7978	24.3369
0.4095	9.9607	5.084	16.6275	22.2977
0.42525	11.56	5.2912	9.6158	16.8789
0.441	12.0465	3.2475	-0.21678	1.917
0.45675	11.0278	-3.6422	-16.1893	5.9539
0.4725	7.5531	10.5632	-7.5955	9.5038
0.48825	3.3489	8.8122	-2.0624	7.022
0.504	0.2013	-10.3858	-4.8073	3.2937
0.51975	-4.3233	-13.8333	-6.4234	-1.4644
0.5355	-4.1016	-10.6886	-4.6845	-0.45061
0.55125	-12.4764	-6.0568	-2.7265	-1.771
0.567	-4.3807	-13.1861	-8.6212	-10.8015
0.58275	-1.6508	1.0785	-6.5152	-15.4687
0.5985	-10.8557	4.8433	-7.8032	-10.7343
0.61425	-15.2392	1.1173	-12.7884	-12.5874
0.63	-11.0117	-10.8604	-13.2245	-14.4419
0.64575	-14.6577	-13.7066	-8.9357	-0.88798
0.6615	-12.9372	-12.7632	-13.3707	0.32469
0.67725	-12.3575	-12.686	-16.7934	-5.6924
0.693	-17.3412	-18.3104	-21.2476	-12.7645
0.70875	-11.3506	-8.5938	-19.4058	-8.9632
0.7245	-10.4071	-4.5472	-20.9619	-11.526
0.74025	-13.2059	-10.0703	-30.6866	-13.4185
0.756	-11.4552	-12.3854	-22.5037	-17.2855
0.77175	-15.6068	-10.5466	-22.0513	-14.9023
0.7875	-12.1042	-11.2469	-17.3349	-22.0358
0.80325	-12.0836	-26.0782	-17.1395	-16.3754
0.819	-30.7643	-9.3972	-18.2973	-14.3584
0.83475	-16.7934	-5.3483	-17.1881	-18.8732
0.8505	-11.8285	-8.1562	-18.7786	-19.7076
0.86625	-19.8871	-18.9688	-23.7681	-21.9177
0.882	-17.9976	-18.2758	-21.4748	-23.254
0.89775	-7.871	-14.564	-23.0922	-14.1084
0.9135	-6.3268	-13.642	-23.7384	-12.4995
0.92925	-10.7672	-12.9053	-27.011	-12.5141
0.945	-20.6662	-12.0924	-21.2233	-13.37
0.96075	-29.7684	-6.8826	-19.4439	-24.6891
0.9765	-23.8844	-8.3623	-19.1316	-17.5437
0.99225	-14.3991	-19.4186	-20.9674	-15.1216
1.008	-13.2642	-14.8511	-23.3318	-19.0334
1.0238	-12.854	-18.212	-24.5021	-36.3971
1.0395	-13.9305	-15.8156	-19.7914	-24.8387
1.0553	-17.753	-18.3954	-22.1399	-19.5588
1.071	-17.443	-9.2593	-21.7595	-13.5017
1.0867	-15.4718	-10.2655	-16.2792	-12.5155
1.1025	-19.8789	-22.5482	-23.148	-16.784
1.1182	-16.9052	-24.5537	-40.2379	-22.9904
1.134	-28.1499	-20.6577	-23.5661	-27.9605
1.1497	-16.0664	-18.7753	-16.4686	-18.2838
1.1655	-21.5213	-14.4479	-18.5452	-22.0449
1.1813	-18.598	-7.1376	-21.6942	-12.6635
1.197	-21.728	-5.8346	-22.0264	-14.2119
1.2128	-14.9248	-12.1159	-18.0409	-21.6026
1.2285	-12.0789	-18.0745	-19.7115	-23.4674
1.2442	-17.9073	-28.1871	-16.0025	-16.7681
1.26	-15.1065	-23.3717	-13.5508	-10.8578
1.2757	-13.7895	-28.1394	-11.0942	-8.3987
1.2915	-10.3546	-11.9357	-15.7446	-15.3438
1.3073	-11.3615	-3.7636	-15.7432	-10.181
1.323	-2.9048	-3.9812	-8.301	-4.6294
1.3387	-1.6796	-9.6704	-10.9377	-6.736
1.3545	-5.5809	-16.5028	-7.4161	-8.7038
1.3703	-13.694	-14.0221	-7.6402	-7.6938
1.386	-6.0837	-5.234	-8.0039	-4.8849
1.4018	-2.1919	-3.3512	-5.8675	-2.5231
1.4175	-0.60891	-5.3753	-9.1467	-4.4672
1.4333	1.2067	0.89934	-12.1867	-10.0276
1.449	2.9231	0.1241	-13.6476	-11.0919
1.4647	0.58116	2.4718	-17.5096	-7.8727
1.4805	-6.7505	3.0344	-15.3471	-6.7669
1.4962	-1.3655	0.19073	-12.8629	-8.9985
1.512	4.6381	-1.8458	-11.9958	-11.3444
1.5278	-3.4993	-3.8062	-12.1544	-7.4829
1.5435	2.2699	3.6819	-14.2457	-11.9734
1.5592	1.1744	5.8373	-23.8087	-26.0334
1.575	-11.556	2.7468	-29.8926	-17.2984
1.5907	-0.50307	-5.4631	-29.7806	-13.2523
1.6065	1.4575	-28.5654	-18.1841	-10.9006
1.6223	2.5049	-28.6019	-21.0711	-10.2868
1.638	-1.4736	-4.7186	-24.0716	-10.7927
1.6537	-19.0313	-4.3563	-24.5526	-12.1028
1.6695	-2.3887	-4.6143	-27.633	-15.2513
1.6852	-6.15	-3.3325	-26.7117	-20.7642
1.701	-21.1543	-10.4137	-35.1097	-27.8859
1.7168	-7.673	-12.6531	-33.0778	-35.629
1.7325	-20.0569	-6.6156	-43.3469	-24.0363
1.7482	-14.9249	-6.1948	-31.6968	-22.7377
1.764	-12.4475	-8.574	-28.8589	-38.0521
1.7797	-6.6948	-6.2198	-29.0243	-30.7979
1.7955	-6.7301	-6.395	-30.1924	-26.0478
1.8113	-23.8278	-6.4466	-35.6837	-21.3354
1.827	-4.7549	-19.4098	-32.9478	-24.0388
1.8427	-2.8903	-8.0345	-31.7617	-20.0689
1.8585	-6.8552	-18.6161	-39.6164	-28.9817
1.8743	-8.3506	-7.3262	-32.6626	-20.8856
1.89	-13.233	-6.0807	-27.0878	-21.7479
1.9057	-3.6718	-15.6299	-32.3239	-19.9012
1.9215	-4.4417	-3.3759	-36.5817	-16.5734
1.9372	-11.0972	-4.743	-28.2626	-18.0824
1.953	-8.5731	-8.9284	-28.2021	-23.2031
1.9688	-32.8745	-4.7872	-29.8805	-25.2112
1.9845	-5.5742	-5.0938	-30.2207	-24.6795
2.0002	0.071417	-10.5115	-26.7709	-32.6614
2.016	0.40965	-7.3688	-22.7958	-24.0066
2.0317	-5.5018	-4.2883	-22.7036	-23.2482
2.0475	-11.0626	-13.5695	-26.9041	-29.0313
2.0633	-8.3375	-11.4749	-32.2401	-28.6547
2.079	-11.8591	-9.1348	-24.8046	-22.4236
2.0947	-13.5339	-6.1134	-26.8079	-23.5007
2.1105	-2.6238	-9.3697	-26.6848	-20.6538
