x	Theoretical mean periodogram	Theoretical PSD	Periodogram	Periodogram
-1	3.9733e-29	5.999e-32	0.047958	0.047958
-0.99219	0.0024091	0.0024091	0.047054	0.047054
-0.98438	0.0096305	0.0096305	0.047593	0.047593
-0.97656	0.021647	0.021647	0.091577	0.091577
-0.96875	0.038429	0.038429	0.034427	0.034427
-0.96094	0.059937	0.059937	0.076055	0.076055
-0.95313	0.086119	0.086119	0.014874	0.014874
-0.94531	0.11691	0.11691	0.12966	0.12966
-0.9375	0.15224	0.15224	0.095369	0.095369
-0.92969	0.19202	0.19202	0.25494	0.25494
-0.92188	0.23616	0.23616	0.26985	0.26985
-0.91406	0.28454	0.28454	0.15722	0.15722
-0.90625	0.33706	0.33706	0.22922	0.22922
-0.89844	0.39358	0.39358	0.2295	0.2295
-0.89063	0.45398	0.45398	0.37992	0.37992
-0.88281	0.5181	0.5181	0.23701	0.23701
-0.875	0.58579	0.58579	0.69047	0.69047
-0.86719	0.65688	0.65688	0.95067	0.95067
-0.85938	0.73121	0.73121	0.91139	0.91139
-0.85156	0.8086	0.8086	1.4055	1.4055
-0.84375	0.88886	0.88886	0.26721	0.26721
-0.83594	0.97179	0.97179	1.6434	1.6434
-0.82813	1.0572	1.0572	2.21	2.21
-0.82031	1.1449	1.1449	0.89259	0.89259
-0.8125	1.2346	1.2346	1.7368	1.7368
-0.80469	1.3262	1.3262	1.2981	1.2981
-0.79688	1.4194	1.4194	1.429	1.429
-0.78906	1.514	1.514	2.1304	2.1304
-0.78125	1.6098	1.6098	1.4703	1.4703
-0.77344	1.7065	1.7065	1.6121	1.6121
-0.76563	1.804	1.804	1.6188	1.6188
-0.75781	1.9019	1.9019	1.0176	1.0176
-0.75	2	2	1.5636	1.5636
-0.74219	2.0981	2.0981	3.2869	3.2869
-0.73438	2.196	2.196	1.2291	1.2291
-0.72656	2.2935	2.2935	0.44107	0.44107
-0.71875	2.3902	2.3902	1.0958	1.0958
-0.71094	2.486	2.486	1.0969	1.0969
-0.70313	2.5806	2.5806	4.8994	4.8994
-0.69531	2.6738	2.6738	2.5865	2.5865
-0.6875	2.7654	2.7654	5.1231	5.1231
-0.67969	2.8551	2.8551	1.4934	1.4934
-0.67188	2.9428	2.9428	3.8222	3.8222
-0.66406	3.0282	3.0282	6.4148	6.4148
-0.65625	3.1111	3.1111	5.9234	5.9234
-0.64844	3.1914	3.1914	7.127	7.127
-0.64063	3.2688	3.2688	5.6356	5.6356
-0.63281	3.3431	3.3431	1.4968	1.4968
-0.625	3.4142	3.4142	2.8836	2.8836
-0.61719	3.4819	3.4819	1.5972	1.5972
-0.60938	3.546	3.546	1.2191	1.2191
-0.60156	3.6064	3.6064	6.7972	6.7972
-0.59375	3.6629	3.6629	1.1882	1.1882
-0.58594	3.7155	3.7155	4.1243	4.1243
-0.57813	3.7638	3.7638	4.5198	4.5198
-0.57031	3.808	3.808	2.7681	2.7681
-0.5625	3.8478	3.8478	2.7529	2.7529
-0.55469	3.8831	3.8831	1.9606	1.9606
-0.54688	3.9139	3.9139	7.2221	7.2221
-0.53906	3.9401	3.9401	4.3279	4.3279
-0.53125	3.9616	3.9616	1.8243	1.8243
-0.52344	3.9784	3.9784	5.6649	5.6649
-0.51563	3.9904	3.9904	2.3635	2.3635
-0.50781	3.9976	3.9976	6.5413	6.5413
-0.5	4	4	3.4167	3.4167
-0.49219	3.9976	3.9976	3.2002	3.2002
-0.48438	3.9904	3.9904	3.9607	3.9607
-0.47656	3.9784	3.9784	6.542	6.542
-0.46875	3.9616	3.9616	5.5995	5.5995
-0.46094	3.9401	3.9401	5.2806	5.2806
-0.45313	3.9139	3.9139	5.6475	5.6475
-0.44531	3.8831	3.8831	2.7775	2.7775
-0.4375	3.8478	3.8478	2.0124	2.0124
-0.42969	3.808	3.808	3.3365	3.3365
-0.42188	3.7638	3.7638	1.3855	1.3855
-0.41406	3.7155	3.7155	2.1933	2.1933
-0.40625	3.6629	3.6629	5.3177	5.3177
-0.39844	3.6064	3.6064	1.0608	1.0608
-0.39063	3.546	3.546	2.2539	2.2539
-0.38281	3.4819	3.4819	1.9031	1.9031
-0.375	3.4142	3.4142	3.621	3.621
-0.36719	3.3431	3.3431	1.081	1.081
-0.35938	3.2688	3.2688	3.9428	3.9428
-0.35156	3.1914	3.1914	2.062	2.062
-0.34375	3.1111	3.1111	7.2794	7.2794
-0.33594	3.0282	3.0282	2.7332	2.7332
-0.32813	2.9428	2.9428	2.2006	2.2006
-0.32031	2.8551	2.8551	2.1531	2.1531
-0.3125	2.7654	2.7654	1.3897	1.3897
-0.30469	2.6738	2.6738	1.7767	1.7767
-0.29688	2.5806	2.5806	0.5237	0.5237
-0.28906	2.486	2.486	0.57937	0.57937
-0.28125	2.3902	2.3902	0.80581	0.80581
-0.27344	2.2935	2.2935	1.3583	1.3583
-0.26562	2.196	2.196	3.0055	3.0055
-0.25781	2.0981	2.0981	1.8124	1.8124
-0.25	2	2	0.51032	0.51032
-0.24219	1.9019	1.9019	1.8766	1.8766
-0.23438	1.804	1.804	2.028	2.028
-0.22656	1.7065	1.7065	1.9261	1.9261
-0.21875	1.6098	1.6098	2.4362	2.4362
-0.21094	1.514	1.514	0.51978	0.51978
-0.20313	1.4194	1.4194	0.87132	0.87132
-0.19531	1.3262	1.3262	1.8522	1.8522
-0.1875	1.2346	1.2346	1.0329	1.0329
-0.17969	1.1449	1.1449	1.2408	1.2408
-0.17187	1.0572	1.0572	0.48145	0.48145
-0.16406	0.97179	0.97179	1.0916	1.0916
-0.15625	0.88886	0.88886	0.46863	0.46863
-0.14844	0.8086	0.8086	0.78936	0.78936
-0.14062	0.73121	0.73121	0.50393	0.50393
-0.13281	0.65688	0.65688	0.67983	0.67983
-0.125	0.58579	0.58579	0.53075	0.53075
