time sound
3364 0.046875 
3365 0.046875 
3366 0.10156 
3367 0.085938 
3368 0.11719 
3369 0.10938 
3370 0.10156 
3371 0.14063 
3372 0.085938 
3373 0.070313 
3374 0.0625 
3375 0.023438 
3376 -0.03125 
3377 -0.039063 
3378 -0.078125 
3379 -0.14063 
3380 -0.16406 
3381 -0.19531 
3382 -0.22656 
3383 -0.25 
3384 -0.25 
3385 -0.25 
3386 -0.25781 
3387 -0.23438 
3388 -0.1875 
3389 -0.1875 
3390 -0.14844 
3391 -0.09375 
3392 -0.0625 
3393 -0.023438 
3394 0.015625 
3395 0.0625 
3396 0.085938 
3397 0.11719 
3398 0.16406 
3399 0.17188 
3400 0.16406 
3401 0.20313 
3402 0.17969 
3403 0.16406 
3404 0.17969 
3405 0.13281 
3406 0.125 
3407 0.09375 
3408 0.078125 
3409 0.0625 
3410 0.023438 
3411 0.023438 
3412 0.0078125 
3413 0 
3414 -0.015625 
3415 0.015625 
3416 -0.023438 
3417 -0.015625 
3418 0 
3419 -0.03125 
3420 0.015625 
3421 0 
3422 0.046875 
3423 0.046875 
3424 0.039063 
3425 0.14063 
3426 0.070313 
3427 0.10938 
3428 0.16406 
3429 0.085938 
3430 0.125 
3431 0.09375 
3432 0.046875 
3433 0.039063 
3434 -0.0078125 
3435 -0.046875 
3436 -0.09375 
3437 -0.11719 
3438 -0.17969 
3439 -0.21094 
3440 -0.21094 
3441 -0.26563 
3442 -0.25781 
3443 -0.27344 
3444 -0.25 
3445 -0.24219 
3446 -0.22656 
3447 -0.17188 
3448 -0.15625 
3449 -0.125 
3450 -0.070313 
3451 -0.046875 
3452 -0.015625 
3453 0.03125 
3454 0.0625 
3455 0.078125 
3456 0.10156 
3457 0.13281 
3458 0.13281 
3459 0.125 
3460 0.14063 
3461 0.11719 
3462 0.10156 
3463 0.09375 
3464 0.085938 
3465 0.070313 
3466 0.054688 
3467 0.046875 
3468 0.03125 
3469 0.03125 
3470 0 
3471 0.03125 
3472 0.0078125 
3473 0 
3474 0.015625 
3475 0 
3476 0.0078125 
3477 -0.0078125 
3478 0.0078125 
3479 0.0078125 
3480 -0.023438 
3481 0.085938 
3482 0.054688 
3483 0 
3484 0.19531 
3485 0.125 
3486 0.10156 
3487 0.26563 
3488 0.20313 
3489 0.23438 
3490 0.23438 
3491 0.20313 
3492 0.21875 
3493 0.10938 
3494 0.078125 
3495 0.09375 
3496 -0.046875 
3497 -0.10156 
3498 -0.10156 
3499 -0.23438 
3500 -0.25781 
3501 -0.3125 
3502 -0.33594 
3503 -0.38281 
3504 -0.40625 
3505 -0.375 
3506 -0.375 
3507 -0.375 
3508 -0.32031 
3509 -0.24219 
3510 -0.25 
3511 -0.16406 
3512 -0.078125 
3513 -0.054688 
3514 0 
3515 0.070313 
3516 0.10938 
3517 0.14063 
3518 0.17188 
3519 0.21094 
3520 0.21094 
3521 0.1875 
3522 0.22656 
3523 0.19531 
3524 0.14844 
3525 0.15625 
3526 0.14063 
3527 0.085938 
3528 0.0625 
3529 0.070313 
3530 0.015625 
3531 0 
3532 0 
3533 -0.0078125 
3534 -0.039063 
3535 -0.023438 
3536 -0.0078125 
3537 -0.039063 
3538 -0.039063 
3539 -0.0078125 
3540 0.10156 
3541 0 
3542 0.085938 
3543 0.3125 
3544 0.0625 
3545 0.25781 
3546 0.40625 
3547 0.16406 
3548 0.32031 
3549 0.30469 
3550 0.17188 
3551 0.17969 
3552 0.078125 
3553 0.039063 
3554 -0.023438 
3555 -0.16406 
3556 -0.11719 
3557 -0.20313 
3558 -0.32031 
3559 -0.29688 
3560 -0.28906 
3561 -0.36719 
3562 -0.36719 
3563 -0.26563 
3564 -0.34375 
3565 -0.28906 
3566 -0.24219 
3567 -0.19531 
3568 -0.17188 
3569 -0.15625 
3570 -0.039063 
3571 -0.054688 
3572 -0.03125 
3573 0.046875 
3574 0.070313 
3575 0.039063 
3576 0.10156 
3577 0.125 
3578 0.085938 
3579 0.09375 
3580 0.10156 
3581 0.09375 
3582 0.046875 
3583 0.0625 
3584 0.0625 
3585 0.015625 
3586 0.015625 
3587 0.046875 
3588 0 
3589 0 
3590 0.015625 
3591 0 
3592 0.015625 
3593 -0.0078125 
3594 0.03125 
3595 0 
3596 0.0078125 
3597 0.039063 
3598 0.015625 
3599 0.078125 
3600 0.11719 
3601 0.0625 
3602 0.20313 
3603 0.25781 
3604 0.11719 
3605 0.35938 
3606 0.32813 
3607 0.19531 
3608 0.375 
3609 0.24219 
3610 0.21094 
3611 0.1875 
3612 0.039063 
3613 0.09375 
3614 -0.039063 
3615 -0.17188 
3616 -0.078125 
3617 -0.22656 
3618 -0.32031 
3619 -0.1875 
3620 -0.32031 
3621 -0.34375 
3622 -0.22656 
3623 -0.32813 
3624 -0.28906 
3625 -0.24219 
3626 -0.26563 
3627 -0.19531 
3628 -0.21875 
3629 -0.17188 
3630 -0.09375 
3631 -0.13281 
3632 -0.0625 
3633 0.0078125 
3634 -0.03125 
3635 0.03125 
3636 0.078125 
3637 0.039063 
3638 0.085938 
3639 0.10156 
3640 0.09375 
3641 0.10938 
3642 0.085938 
3643 0.10156 
3644 0.085938 
3645 0.054688 
3646 0.078125 
3647 0.054688 
3648 0.015625 
3649 0.039063 
3650 0.015625 
3651 0 
3652 -0.015625 
3653 -0.015625 
3654 -0.03125 
3655 -0.0625 
3656 -0.0625 
3657 -0.0625 
3658 -0.09375 
3659 -0.13281 
3660 -0.09375 
3661 0.039063 
3662 -0.03125 
3663 -0.078125 
3664 0.27344 
3665 0.24219 
3666 0.14844 
3667 0.48438 
3668 0.47656 
3669 0.46094 
3670 0.53125 
3671 0.46875 
3672 0.53125 
3673 0.36719 
3674 0.23438 
3675 0.33594 
3676 0.09375 
3677 -0.085938 
3678 -0.023438 
3679 -0.21094 
3680 -0.375 
3681 -0.38281 
3682 -0.46094 
3683 -0.50781 
3684 -0.5625 
3685 -0.58594 
3686 -0.46094 
3687 -0.5625 
3688 -0.54688 
3689 -0.30469 
3690 -0.42969 
3691 -0.33594 
3692 -0.14063 
3693 -0.14844 
3694 -0.078125 
3695 0.023438 
3696 0.10156 
3697 0.125 
3698 0.15625 
3699 0.25 
3700 0.27344 
3701 0.1875 
3702 0.27344 
3703 0.28906 
3704 0.17188 
3705 0.20313 
3706 0.21875 
3707 0.13281 
3708 0.078125 
3709 0.11719 
3710 0.070313 
3711 0 
3712 0 
3713 0.0078125 
3714 -0.039063 
3715 -0.09375 
3716 -0.015625 
3717 -0.070313 
3718 -0.10938 
3719 -0.046875 
3720 -0.046875 
3721 -0.070313 
3722 -0.078125 
3723 0 
3724 -0.10156 
3725 -0.09375 
3726 0.039063 
3727 0.078125 
3728 -0.085938 
3729 0.125 
3730 0.45313 
3731 0.015625 
3732 0.34375 
3733 0.60938 
3734 0.25 
3735 0.5 
3736 0.44531 
3737 0.35156 
3738 0.39844 
3739 0.11719 
3740 0.21094 
3741 0.14844 
3742 -0.21094 
3743 -0.070313 
3744 -0.19531 
3745 -0.42969 
3746 -0.36719 
3747 -0.46875 
3748 -0.49219 
3749 -0.50781 
3750 -0.53125 
3751 -0.46094 
3752 -0.41406 
3753 -0.5 
3754 -0.32031 
3755 -0.23438 
3756 -0.33594 
3757 -0.10938 
3758 -0.070313 
3759 -0.070313 
3760 0.03125 
3761 0.10156 
3762 0.14844 
3763 0.14063 
3764 0.19531 
3765 0.24219 
3766 0.19531 
3767 0.16406 
3768 0.25 
3769 0.16406 
3770 0.11719 
3771 0.17969 
3772 0.13281 
3773 0.0625 
3774 0.085938 
3775 0.10156 
3776 0.015625 
3777 0.015625 
3778 0.023438 
3779 0 
3780 -0.054688 
3781 -0.03125 
3782 0 
3783 -0.078125 
3784 -0.078125 
3785 -0.015625 
3786 -0.0625 
3787 -0.13281 
3788 -0.03125 
3789 0.10938 
3790 -0.03125 
3791 -0.078125 
3792 0.40625 
3793 0.21875 
3794 0.078125 
3795 0.61719 
3796 0.39844 
3797 0.375 
3798 0.53125 
3799 0.36719 
3800 0.46094 
3801 0.22656 
3802 0.13281 
3803 0.25781 
3804 -0.09375 
3805 -0.20313 
3806 -0.078125 
3807 -0.35938 
3808 -0.46094 
3809 -0.42188 
3810 -0.49219 
3811 -0.54688 
3812 -0.58594 
3813 -0.47656 
3814 -0.46094 
3815 -0.53906 
3816 -0.375 
3817 -0.25 
3818 -0.35938 
3819 -0.1875 
3820 -0.015625 
3821 -0.10156 
3822 -0.0078125 
3823 0.125 
3824 0.13281 
3825 0.10938 
3826 0.17969 
3827 0.25781 
3828 0.17969 
3829 0.16406 
3830 0.25781 
3831 0.1875 
3832 0.085938 
3833 0.16406 
3834 0.13281 
3835 0.03125 
3836 0.046875 
3837 0.070313 
3838 0.015625 
3839 0 
3840 0.03125 
3841 0.023438 
3842 0 
3843 0.0078125 
3844 0.046875 
3845 0.015625 
3846 0 
3847 0.054688 
3848 0.023438 
3849 0 
3850 0.023438 
3851 0 
3852 -0.023438 
3853 0.03125 
3854 0.054688 
3855 0 
3856 0.125 
3857 0.1875 
3858 0.15625 
3859 0.28125 
3860 0.32813 
3861 0.33594 
3862 0.375 
3863 0.34375 
3864 0.32031 
3865 0.28906 
3866 0.14844 
3867 0.13281 
3868 0.039063 
3869 -0.10938 
3870 -0.125 
3871 -0.25 
3872 -0.32813 
3873 -0.38281 
3874 -0.4375 
3875 -0.47656 
3876 -0.49219 
3877 -0.46094 
3878 -0.47656 
3879 -0.40625 
3880 -0.38281 
3881 -0.35156 
3882 -0.25781 
3883 -0.22656 
3884 -0.14063 
3885 -0.085938 
3886 -0.039063 
3887 0.023438 
3888 0.054688 
3889 0.10156 
3890 0.13281 
3891 0.15625 
3892 0.15625 
3893 0.17188 
3894 0.17188 
3895 0.15625 
3896 0.14063 
3897 0.14063 
3898 0.10938 
3899 0.10156 
3900 0.10938 
3901 0.078125 
3902 0.070313 
3903 0.085938 
3904 0.070313 
3905 0.0625 
3906 0.078125 
3907 0.054688 
3908 0.046875 
3909 0.054688 
3910 0.039063 
3911 0.046875 
3912 0 
3913 0.023438 
3914 0.0078125 
3915 -0.078125 
3916 -0.015625 
3917 0.09375 
3918 -0.054688 
3919 -0.03125 
3920 0.27344 
3921 0.11719 
3922 0.13281 
3923 0.39063 
3924 0.32031 
3925 0.34375 
3926 0.35938 
3927 0.34375 
3928 0.34375 
3929 0.17188 
3930 0.13281 
3931 0.15625 
3932 -0.078125 
3933 -0.16406 
3934 -0.11719 
3935 -0.32031 
3936 -0.40625 
3937 -0.39063 
3938 -0.44531 
3939 -0.50781 
3940 -0.5 
3941 -0.45313 
3942 -0.44531 
3943 -0.4375 
3944 -0.38281 
3945 -0.26563 
3946 -0.25781 
3947 -0.21094 
3948 -0.054688 
3949 -0.0625 
3950 -0.03125 
3951 0.078125 
3952 0.10156 
3953 0.10156 
3954 0.13281 
3955 0.1875 
3956 0.16406 
3957 0.14844 
3958 0.17969 
3959 0.16406 
3960 0.10938 
3961 0.10938 
3962 0.13281 
3963 0.078125 
3964 0.054688 
3965 0.085938 
3966 0.085938 
3967 0.023438 
3968 0.0625 
3969 0.085938 
3970 0.039063 
3971 0.0625 
3972 0.09375 
3973 0.054688 
3974 0.039063 
3975 0.078125 
3976 0.054688 
3977 0.015625 
3978 0.023438 
3979 -0.0078125 
3980 -0.0625 
3981 0.046875 
3982 0.10938 
3983 -0.19531 
3984 0.14063 
3985 0.39844 
3986 -0.14063 
3987 0.32813 
3988 0.49219 
3989 0.125 
3990 0.45313 
3991 0.29688 
3992 0.28906 
3993 0.32813 
3994 -0.0078125 
3995 0.21094 
3996 0.0625 
3997 -0.29688 
3998 -0.046875 
3999 -0.20313 
4000 -0.45313 
4001 -0.36719 
4002 -0.40625 
4003 -0.48438 
4004 -0.53906 
4005 -0.46875 
4006 -0.42188 
4007 -0.46875 
4008 -0.44531 
4009 -0.28125 
4010 -0.25781 
4011 -0.33594 
4012 -0.054688 
4013 -0.054688 
4014 -0.11719 
4015 0.09375 
4016 0.10156 
4017 0.09375 
4018 0.125 
4019 0.21094 
4020 0.20313 
4021 0.14063 
4022 0.21094 
4023 0.22656 
4024 0.13281 
4025 0.125 
4026 0.1875 
4027 0.09375 
4028 0.070313 
4029 0.13281 
4030 0.09375 
4031 0.054688 
4032 0.085938 
4033 0.10938 
4034 0.046875 
4035 0.046875 
4036 0.078125 
4037 0.054688 
4038 0.015625 
4039 0.046875 
4040 0.054688 
4041 -0.015625 
4042 0 
4043 0 
4044 -0.125 
4045 -0.015625 
4046 0.13281 
4047 -0.23438 
4048 0.03125 
4049 0.4375 
4050 -0.15625 
4051 0.23438 
4052 0.54688 
4053 0.10938 
4054 0.46094 
4055 0.34375 
4056 0.29688 
4057 0.41406 
4058 0.023438 
4059 0.24219 
4060 0.15625 
4061 -0.24219 
4062 -0.03125 
4063 -0.14844 
4064 -0.44531 
4065 -0.33594 
4066 -0.40625 
4067 -0.53125 
4068 -0.5 
4069 -0.52344 
4070 -0.49219 
4071 -0.44531 
4072 -0.50781 
4073 -0.33594 
4074 -0.26563 
4075 -0.36719 
4076 -0.10938 
4077 -0.0625 
4078 -0.125 
4079 0.070313 
4080 0.10156 
4081 0.09375 
4082 0.14844 
4083 0.1875 
4084 0.21875 
4085 0.17188 
4086 0.19531 
4087 0.25 
4088 0.15625 
4089 0.13281 
4090 0.20313 
4091 0.11719 
4092 0.078125 
4093 0.125 
4094 0.10938 
4095 0.0625 
4096 0.0625 
4097 0.10938 
4098 0.0625 
4099 0.03125 
4100 0.10156 
4101 0.054688 
4102 0 
4103 0.070313 
4104 0.039063 
4105 -0.023438 
4106 0.0078125 
4107 -0.023438 
4108 -0.125 
4109 -0.015625 
4110 0.14844 
4111 -0.25781 
4112 0.023438 
4113 0.48438 
4114 -0.21875 
4115 0.24219 
4116 0.58594 
4117 0.054688 
4118 0.47656 
4119 0.34375 
4120 0.27344 
